video_desc,video_launch_time,video_url,comment_id,parent_comment_id,comment_time,comment_content,commenter_name,commenter_space
打个广告,2024-07-06,https://www.tiktok.com/@user5753633180527/video/7388462512364195080,7389313919377277714,7389313919377277714,7-9,顶楼是伊朗买走了,awen ,https://www.tiktok.com/@awen56789
打个广告,2024-07-06,https://www.tiktok.com/@user5753633180527/video/7388462512364195080,7388540666965492486,7388540666965492486,7-6,卖钩子吧 回回,janbota911 ,https://www.tiktok.com/@janbota911
在迪拜房东是不可以随便涨房租和驱逐租户的，否则就违法了,2024-06-25,https://www.tiktok.com/@user5753633180527/video/7384435341756730632,7386354537570927368,7386354537570927368,7-1,直接涨 你能怎么样？,tareek1688 ,https://www.tiktok.com/@tareek1688
来云溪港全海景的两居室,2024-06-15,https://www.tiktok.com/@user5753633180527/video/7380684019756748040,7380686956517212935,7380686956517212935,6-15,ok,user449195640925 ,https://www.tiktok.com/@user449195640925
迪拜房产,2024-06-12,https://www.tiktok.com/@user5753633180527/video/7379549136607087890,7379551196393014023,7379551196393014023,6-12,👍,High end jewelry watch Liu ,https://www.tiktok.com/@wrist.watchliu
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375742390362358536,7375742390362358536,6-2,你进回教了？,Francis Ooi ,https://www.tiktok.com/@MS4wLjABAAAA9ry8NmA4DMWEaVjzYYeUn0u21W0RQTNOjKHtjSLkhFKlljdDVJK6ThPHNElZwKWZ
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375890009163088641,7375890009163088641,6-2,哪位兄弟有转移资产的业务？,@开元传媒 ,https://www.tiktok.com/@user6628817561818
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375948571664237319,7375948571664237319,6-3,好喔。,Wai Seng Chai ,https://www.tiktok.com/@etoilews
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375940574442439440,7375940574442439440,6-3,👍👍👍👍👍👍,Boss Coco@888 ,https://www.tiktok.com/@boss131418
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7384749353358934790,7384749353358934790,6-26,👏👏👏,TT ,https://www.tiktok.com/@tt5962
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7379581800097809160,7379581800097809160,6-12,😁,user449195640925 ,https://www.tiktok.com/@user449195640925
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375762536702001938,7375762536702001938,6-2,谁说电诈很少的 你又知道了,weirong30 ,https://www.tiktok.com/@weirong30
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7392263573026013970,7392263573026013970,5d ago ,😃,Keao coating equipment ,https://www.tiktok.com/@brandxrw47x
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7379506982590858002,7379506982590858002,6-12,捉回去怎么处理。,Neoh7686 ,https://www.tiktok.com/@neoh7686
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375885766952878864,7375885766952878864,6-2,好,輝耀 ,https://www.tiktok.com/@winallluck
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375722996092584710,7375722996092584710,6-2,头戴一块布，姐姐你最富,飞黄腾达 ,https://www.tiktok.com/@wud936
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375714089010299649,7375714089010299649,6-2,很多都跑去马来西亚了。最近接到很多都是马来西亚号码的。,ST ,https://www.tiktok.com/@stng7616
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375719951468397329,7375719951468397329,6-2,"新加坡政府也是捉捕了许多大陸的,看我视频",lugu868 ,https://www.tiktok.com/@lugu868
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375739413412201223,7375739413412201223,6-2,在迪拜女的必须带头巾吗,小西 ,https://www.tiktok.com/@tjsongbo
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7381658310528238344,7381658310528238344,6-18,强哥去迪拜关顾中东电商互联网，成功入驻的话，确实是一个很好的开拓,微風的-傾訴 ,https://www.tiktok.com/@_842433
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375717819101528833,7375717819101528833,6-2,迪拜，最出名就是在公海游轮的移植器官医院。,Chengsan Lee ,https://www.tiktok.com/@chengsan.lee
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375761672236434183,7375761672236434183,6-2,养肥了可以吃肉啦,吉 ,https://www.tiktok.com/@user8629555956736
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375722847316083462,7375722847316083462,6-2,那里人小姐姐,飞黄腾达 ,https://www.tiktok.com/@wud936
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7389258360313660167,7389258360313660167,7-8,🚗有卸货的车子吗？,Sorna Akter ,https://www.tiktok.com/@sorna.akter0651
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375833368572920594,7375833368572920594,6-2,漂亮的妞,Paul Zheng ,https://www.tiktok.com/@paulzheng4
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375824083855885073,7375824083855885073,6-2,你也是打广告的,Sunny Seow ,https://www.tiktok.com/@sunnyseow3
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375811598059209489,7375811598059209489,6-2,去到那里就把祸害带到哪里。,unknown ,https://www.tiktok.com/@user6502901144949
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375743130932937490,7375743130932937490,6-2,👆☺️🤣,天翼娱乐 ,https://www.tiktok.com/@lv5689
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375707088947118855,7375707088947118855,6-2,所以，馬耒西亚也应该掃一掃,user2154418538364 ,https://www.tiktok.com/@lim0651
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7384087924642611975,7384087924642611975,6-24,資產轉移（不限性質）、快速移民,KAY.WAYNE ,https://www.tiktok.com/@kay.wayne1
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375908454026445574,7375908454026445574,6-2,你嫁伊斯蘭的男人？,Hcc ,https://www.tiktok.com/@acerchen
迪拜出大事啦,2024-06-01,https://www.tiktok.com/@user5753633180527/video/7375503942668520711,7375884743387628295,7375884743387628295,6-2,回教律法本來就禁止賭博，就算本身自願做賭博灰產，阿聯酋政府也不該不聞不問放任不管，說的本來就是事實怪不了國內抹黑，要不然怎麼現在才開始有行動抓人？,tracker world ,https://www.tiktok.com/@tracker.world
One by Binghatti 是投资者和高端住户的理想选择。在未来几年内，该项目有望成为Business Bay乃至迪拜最具标志性的房地产项目之一。,2024-05-31,https://www.tiktok.com/@user5753633180527/video/7374899432950615304,7375910711149216519,7375910711149216519,6-2,黑袍是结婚了吗,Jon ,https://www.tiktok.com/@dudes.jon
 ,2024-05-29,https://www.tiktok.com/@user5753633180527/video/7374357545470659847,7374423262245634822,7374423262245634822,5-29,не деды ???,nureke ,https://www.tiktok.com/@nureke8570
 ,2024-05-29,https://www.tiktok.com/@user5753633180527/video/7374357545470659847,7374423239541916421,7374423239541916421,5-29,что она сказала ааа??,nureke ,https://www.tiktok.com/@nureke8570
 ,2024-05-29,https://www.tiktok.com/@user5753633180527/video/7374357545470659847,7374361384442102536,7374361384442102536,5-29,纯真人粉，千粉50，万粉400可以开通直播，橱窗，创业者基金，等权限，各地区满月千粉，万粉账号，不影响权重不限流，回购率💯、,专业涨粉➕v1076437024 ,https://www.tiktok.com/@ll107479kfq
迪拜房子能不能买？自己判断，人是赚不了认知以外的钱的。,2024-05-22,https://www.tiktok.com/@user5753633180527/video/7371783691049159944,7383753378491187974,7383753378491187974,6-24,🌺🥰,الشيخ مسلم ,https://www.tiktok.com/@leydiiniamik
迪拜房产市场经历了四个周期,2024-05-19,https://www.tiktok.com/@user5753633180527/video/7370735566259883271,7370739886343734022,7370739886343734022,5-19,"Круто, супер спасибо большое за видео красиво 🔥💯🥰",user8357511693740 ,https://www.tiktok.com/@user8357511693740
今天和朋友去医院啦！她是陪诊翻译，大家有需要的可以找她。,2024-04-15,https://www.tiktok.com/@user5753633180527/video/7358075657206680839,7359040590148846337,7359040590148846337,4-18,Can you speak Arabic?,max ,https://www.tiktok.com/@yin____3
今天和朋友去医院啦！她是陪诊翻译，大家有需要的可以找她。,2024-04-15,https://www.tiktok.com/@user5753633180527/video/7358075657206680839,7358563408063169297,7358563408063169297,4-17,哦吼,飞鹰 ,https://www.tiktok.com/@user3260941817163
今天和朋友去医院啦！她是陪诊翻译，大家有需要的可以找她。,2024-04-15,https://www.tiktok.com/@user5753633180527/video/7358075657206680839,7358131661479215890,7358131661479215890,4-16,你好陪诊翻译多少钱？,⚽️ ,https://www.tiktok.com/@user6349269552765
今天和朋友去医院啦！她是陪诊翻译，大家有需要的可以找她。,2024-04-15,https://www.tiktok.com/@user5753633180527/video/7358075657206680839,7358104680419492614,7358104680419492614,4-15,"👍👍, wish you a great day/night",Tobey ,https://www.tiktok.com/@tobeymaguireverse
